,ndcg@30,recall@30,min,max,mean,q1,q2,q3,q4,mdg_min_10.0,mdg_min_20.0,mdg_min_30.0,mdg_max_10.0,mdg_max_20.0,mdg_max_30.0,small group,large group,dpf,mp_small_group,mp_large_group,item_group_0,item_group_1,item_group_diff,i_epsilon,g_epsilon
10,0.5134313,0.38953143,0.0,0.45501883074896315,0.029453098472117866,0.005094876164525464,0.010963246885638598,0.03280254526251817,0.45501883074896315,5.99289873492116e-05,0.0015443412617079577,0.0027252278621509324,0.1510959570777948,0.10102417994664965,0.07845590880097746,271,634,0.07021150772492772,0.08233601756641346,0.01212450984148573,134280.0,46260.0,88020.0,15,0.05
11,0.508174,0.38313392,0.0,0.452006629063625,0.02999580357926163,0.005094876164525464,0.011044312064109532,0.03496643466033705,0.452006629063625,6.651486747888246e-05,0.0015800607224048082,0.0027713126812228205,0.14883312466373447,0.10128428500553582,0.07941195758280269,271,634,0.0633415851130984,0.0775232772545621,0.014181692141463705,126431.0,54109.0,72322.0,15,0.055
12,0.5016338,0.37554005,0.0,0.448515703068782,0.030572386915573613,0.005211312207591618,0.011848482719546853,0.03754244488939527,0.448515703068782,0.00013486263296152176,0.0016117190986380304,0.00280287335838184,0.1466954991066958,0.10196075482339055,0.08052971419523737,271,634,0.05606378969396346,0.07242480063350439,0.016361010939540923,118116.0,62424.0,55692.0,15,0.06
13,0.4940399,0.366855,0.0,0.44460601963584195,0.031137048606609687,0.0053925619825101615,0.012001173216230203,0.04011102637602328,0.44460601963584195,9.09581069073499e-05,0.0015883532644287094,0.0028240174081626324,0.14463088428613652,0.1026963529228331,0.0817678580813446,271,634,0.04875535357838946,0.06730485754259398,0.018549503964204517,109766.0,70774.0,38992.0,15,0.065
14,0.4850073,0.35693473,0.0,0.44181549035948137,0.03162947390016198,0.005091041924990713,0.01292180299164356,0.04216907960698233,0.44181549035948137,0.00010178342450416074,0.0015780301926044502,0.0027989874391994296,0.14315563040861629,0.10363524158499653,0.0829277108224457,271,634,0.04129636328069974,0.0620794401837451,0.020783076903045365,101244.0,79296.0,21948.0,15,0.07
15,0.47486016,0.3463055,0.0,0.4371385568162245,0.03209235935191186,0.005418406199789241,0.013306541196315974,0.04241351957225948,0.4371385568162245,6.828719202176998e-05,0.0016637255718624838,0.0029125366829526023,0.14238051043503913,0.10466880289824491,0.08416672566578909,271,634,0.03381025413864782,0.0568350267586233,0.02302477261997548,92691.0,87849.0,4842.0,15,0.075
16,0.46397817,0.3352609,0.0,0.4315265993998837,0.032690543566822675,0.005592417728879225,0.013597178295869735,0.04520394940332175,0.4315265993998837,0.0001365731291810636,0.0017434802936336657,0.0030159079179197957,0.14220554647750336,0.10598399600218167,0.08568256317507346,271,634,0.026521075895465464,0.051728575871879325,0.02520749997641386,84363.0,96177.0,-11814.0,15,0.08
17,0.4526854,0.32382298,0.0,0.42445894533310957,0.033168647741036575,0.005582090271572921,0.01302252167296605,0.04641378083142151,0.42445894533310957,0.00011597186877025884,0.001690261204271459,0.0029712377226884276,0.14267458269798627,0.1072946933609913,0.08711137577557326,271,634,0.019530362733307664,0.04683121543968736,0.027300852706379695,76376.0,104164.0,-27788.0,15,0.085
18,0.44029176,0.31197518,0.0,0.41753872312243856,0.03359657434318067,0.005606919056150221,0.01302252167296605,0.04634526341835203,0.41753872312243856,0.00019222464455091756,0.0017822222242718665,0.0030498092586812593,0.143604232925788,0.10887992608552627,0.08834903593829883,271,634,0.012831113660045659,0.04213803984582204,0.02930692618577638,68722.0,111818.0,-43096.0,15,0.09
19,0.42672974,0.29968983,0.0,0.41050140385660816,0.034001461491251335,0.005676982786188183,0.012857442934655431,0.048202527415801596,0.41050140385660816,0.00017649900277106383,0.0017610053639786692,0.0030449776817287675,0.14498136716604132,0.11050247015292637,0.08963400497230019,271,634,0.0064723381183599445,0.037683384884767426,0.031211046766407482,61457.0,119083.0,-57626.0,15,0.095
20,0.41250134,0.28763154,0.0,0.4004618057250904,0.03445605324375872,0.00568022158419822,0.012906906277035385,0.04853048167024899,0.4004618057250904,0.00010116764686109927,0.0017211715766014088,0.0030489154073611224,0.14675828902682886,0.11240848434531799,0.0910033206347345,271,634,0.00047504660572758595,0.03348196740519956,0.03300692079947198,54605.0,125935.0,-71330.0,15,0.1
21,0.3983105,0.27586132,0.0,0.3885899783660014,0.03482959997936062,0.005592417728879225,0.013056487831959852,0.04753832197806623,0.3885899783660014,0.00011525333999022642,0.0017378630717959811,0.00301658379510163,0.14825359410626573,0.11402541480669519,0.09221707098979381,271,634,-0.0050496020307031,0.02961165790628243,0.03466125993698553,48293.0,132247.0,-83954.0,15,0.105
22,0.38307774,0.264152,0.0,0.37603799895706913,0.035205980738664905,0.0056902547335914684,0.012646870453508376,0.04758195458250804,0.37603799895706913,0.00010975054986610025,0.0017423677904807753,0.003051329447641757,0.15016533074986402,0.11596781214072355,0.09349646945907973,271,634,-0.010264413546917511,0.025958411368056857,0.03622282491497437,42335.0,138205.0,-95870.0,15,0.11
23,0.36701593,0.25236514,0.0,0.3615661157005058,0.03547116000902652,0.005740746345779555,0.012356179040842387,0.04769304783354825,0.3615661157005058,6.285352563528689e-05,0.0016715096083525058,0.0029932371576739214,0.15162345974235858,0.11775036905200528,0.0945517596883878,271,634,-0.01499082908180549,0.022647308687442344,0.037638137769247834,36934.0,143606.0,-106672.0,15,0.115
24,0.3518072,0.24181347,0.0,0.3474064292136667,0.03578298911379252,0.0059241614188618175,0.01212795410601454,0.04756739897363121,0.3474064292136667,9.979916109130059e-05,0.0017688998182267658,0.003142272116213027,0.15345529731014698,0.11963964938176014,0.095608314170156,271,634,-0.01918508452354043,0.01970901524448747,0.0388940997680279,32143.0,148397.0,-116254.0,15,0.12
25,0.33734834,0.23200399,0.0,0.33474065965459243,0.03604521795419994,0.005796811942095043,0.01202902001421483,0.044423232747036426,0.33474065965459243,8.612517930233011e-05,0.0017474273962241155,0.0031077054054831706,0.15504723011768123,0.12128589953502758,0.0966957189468541,271,634,-0.022837549700913454,0.017150270103088606,0.03998781980400206,27970.0,152570.0,-124600.0,15,0.125
26,0.3213945,0.22195636,0.0,0.31955336329683076,0.0362227676099797,0.005723474560873742,0.011835556547142061,0.044148301721307764,0.31955336329683076,5.216291496135266e-05,0.0016997406565601707,0.0030202845280740305,0.15744107352927594,0.12282060425035189,0.09774180721338331,271,634,-0.026238812631729634,0.014767504266267334,0.04100631689799697,24084.0,156456.0,-132372.0,15,0.13
27,0.30711144,0.21326025,0.0,0.3041988034871888,0.03648961912708346,0.005660973514566912,0.012361521008118851,0.047159604921008194,0.3041988034871888,8.122822311780116e-05,0.0017070573652745624,0.00301960097082754,0.15969216781349885,0.1244645771664384,0.09893463780936908,271,634,-0.029198947921902668,0.012693774656176127,0.04189272257807879,20702.0,159838.0,-139136.0,15,0.135
28,0.2937674,0.20582142,0.0,0.28761757453575265,0.03671443100030259,0.005769582746766979,0.012270855005517665,0.04699599680066581,0.28761757453575265,0.00010024357336720951,0.0017349524813278932,0.0030644288578044873,0.16159941323677585,0.1254806662339155,0.09979915587943884,271,634,-0.0315997924683906,0.011011859147751024,0.042611651616141624,17959.0,162581.0,-144622.0,15,0.14
29,0.28119743,0.19885343,0.0,0.2724937144106366,0.03689512518467468,0.005728980575460477,0.012270855005517665,0.04694091947473789,0.2724937144106366,7.134140344852927e-05,0.0017035221006706082,0.00303466928265765,0.16386007522284968,0.12659879537676294,0.10054456087231115,271,634,-0.03376168688060155,0.009497338115509147,0.043259024996110694,15489.0,165051.0,-149562.0,15,0.145
30,0.27079844,0.19313726,0.0,0.27873806801665424,0.03709120288697919,0.00566227880588016,0.012112048339876788,0.04722265970708552,0.27873806801665424,0.0001021137423930882,0.001747115060193324,0.003072942000617968,0.1657839972073805,0.12767067711901445,0.10120119905776795,271,634,-0.03550170525235978,0.008278362865377616,0.043780068117737395,13501.0,167039.0,-153538.0,15,0.15
31,0.260499,0.187554,0.0,0.29049474605029235,0.03723340301359089,0.005773522266725004,0.012095796442960752,0.04625490061625018,0.29049474605029235,5.954086979774835e-05,0.0017643399527598252,0.0031132612292217392,0.16762827721553764,0.1286730309793423,0.10170339086527413,271,634,-0.03709205812826581,0.007164239443536174,0.04425629757180199,11684.0,168856.0,-157172.0,15,0.155
32,0.25141966,0.18284038,0.0,0.29688530065055563,0.037347479410136664,0.005848162061196266,0.01224040596053267,0.04471841271005497,0.29688530065055563,5.954086979774835e-05,0.0017651487997651862,0.0031358543031293293,0.16913014200208143,0.12937942699316912,0.1020551329230686,271,634,-0.038396198915200505,0.006250620768079019,0.04464681968327953,10194.0,170346.0,-160152.0,15,0.16
33,0.24250633,0.17862524,0.0,0.30253051991942825,0.03748640467742217,0.0059950094660150945,0.012270855005517665,0.04483124230632855,0.30253051991942825,8.497483148734443e-05,0.0017798041903623618,0.0031847092271274566,0.17076818350713016,0.13028147364840528,0.10254258150339185,271,634,-0.0395034023465063,0.005474965070886365,0.04497836741739267,8929.0,171611.0,-162682.0,15,0.165
34,0.23514576,0.17521879,0.0,0.30787883882051104,0.03754060888826851,0.006121570748381728,0.012270855005517665,0.04466498449019953,0.30787883882051104,8.356134037877151e-05,0.001805684679330365,0.00322845857444473,0.17157986031625033,0.13071246784363827,0.10275459498855508,271,634,-0.040369033844004976,0.004868543455961446,0.04523757729996642,7940.0,172600.0,-164660.0,15,0.17
35,0.22929211,0.17239395,0.0,0.31299897294289064,0.037680825328268844,0.006235241157414869,0.012207042153666116,0.04466514557798487,0.31299897294289064,0.00011502742439333954,0.0018456520996389034,0.003313614455189455,0.17281354967564935,0.13142112509725087,0.10317076075717016,271,634,-0.04111563375923222,0.004345512478114055,0.045461146237346275,7087.0,173453.0,-166366.0,15,0.175
36,0.22338109,0.16986263,0.0,0.3169526869345033,0.03772469014403627,0.006334938224725162,0.012270855005517665,0.04449920191851143,0.3169526869345033,0.00011521939726130509,0.001862543316989008,0.003340876417073721,0.17356385817960465,0.1317790888553566,0.10333697633402451,271,634,-0.04172218990593468,0.003920587666360215,0.045642777572294894,6394.0,174146.0,-167752.0,15,0.18
37,0.21849635,0.16773015,0.0,0.32160918708647945,0.03775383984100625,0.006249423386380398,0.012270855005517665,0.04378936649734621,0.32160918708647945,9.599295082840544e-05,0.001846214751679053,0.003312031609570598,0.1743035969360394,0.13208223254952778,0.10349445053311208,271,634,-0.04220796158995173,0.0035802798957402415,0.04578824148569197,5839.0,174701.0,-168862.0,15,0.185
38,0.21408029,0.16599092,0.0,0.325442877629756,0.037788337885244466,0.006307783935978795,0.012306142609213724,0.04368942811949596,0.325442877629756,7.684420783647703e-05,0.0018337810027147477,0.0033255282042506445,0.17502844432230294,0.1323239535357111,0.10359658470477998,271,634,-0.042614083645506326,0.00329577087036358,0.04590985451586991,5375.0,175165.0,-169790.0,15,0.19
39,0.21118331,0.16478342,0.0,0.3284384716963776,0.03781005426339025,0.006249423386380398,0.012270855005517665,0.04378936649734621,0.3284384716963776,9.599295082840544e-05,0.0018501659438882527,0.003336057768745339,0.17554327137952486,0.13253030766727933,0.10369917830047785,271,634,-0.04288978578852651,0.00310262322865729,0.0459924090171838,5060.0,175480.0,-170420.0,15,0.195
40,0.53112715,0.41160962,0.0,0.4681842632244168,0.026163270629542816,0.0027943839315941396,0.006504416629543004,0.01677597320449519,0.4681842632244168,0.0,0.0005705011208933373,0.0013101056224747644,0.16619049433018607,0.10687330420424827,0.07701398776918254,271,634,0.10473008309339041,0.10651809439008086,0.0017880112966904506,173718.0,6822.0,166896.0,10,0.0
41,0.53105533,0.41153762,0.0,0.4679514670662996,0.026192188067816095,0.002925486063527506,0.006576675945754418,0.016687494558001875,0.4679514670662996,0.0,0.0005995963111284132,0.0013582024698558703,0.1660068194502859,0.10675369388085498,0.07688780889974123,271,634,0.1041970422284649,0.106144669311073,0.0019476270826080996,173109.0,7431.0,165678.0,10,0.005
42,0.5309365,0.41143236,0.0,0.46756959720475094,0.026242420943077487,0.002967959795801778,0.007005048046696638,0.015925088731515866,0.46756959720475094,0.0,0.0005728403077080004,0.001365332310711494,0.16561739520095958,0.10640355609626188,0.07659663668672902,271,634,0.10319750771939984,0.10544444714085202,0.0022469394214521825,171967.0,8573.0,163394.0,10,0.01
43,0.53079593,0.41127726,0.0,0.46674934194144996,0.026371674366706257,0.0032579939637366606,0.00762952785606613,0.016781450153058212,0.46674934194144996,0.0,0.0006221827070195376,0.0014790431579835615,0.1649787749788833,0.10567333295903861,0.07625637052461069,271,634,0.10168504391156495,0.10438488330348392,0.0026998393919189646,170239.0,10301.0,159938.0,10,0.015
44,0.5303036,0.41053504,0.0,0.46565891876970905,0.02647044722665002,0.003175314227400474,0.0077807449436897045,0.017599897401297866,0.46565891876970905,0.0,0.0005347439833659688,0.0014037501117331148,0.16404943116197604,0.10501755964237888,0.07622970826594444,271,634,0.09961242536432921,0.10293290535902185,0.003320479994692637,167871.0,12669.0,155202.0,10,0.02
45,0.52938193,0.40923896,0.0,0.46510257232201446,0.026649466517185794,0.0032870168832549113,0.008093460790149214,0.019918106657600392,0.46510257232201446,0.0,0.0005397461605756743,0.0014447701423743605,0.16278440678291314,0.10424089001774504,0.07623758623261723,271,634,0.0967870831055227,0.10095360534217525,0.004166522236652555,164643.0,15897.0,148746.0,10,0.025
46,0.52796435,0.40744984,0.0,0.4641900118295002,0.026974152257177756,0.003472222218605324,0.008323539929163735,0.02213658000820954,0.4641900118295002,0.0,0.0006712637943383512,0.001622073078324096,0.16115075088196376,0.10357133421330157,0.07657125132020652,271,634,0.09314160233224895,0.09839974998108135,0.0052581476488324,160478.0,20062.0,140416.0,10,0.03
47,0.5260983,0.4050294,0.0,0.46243755559275307,0.027426230846463385,0.0037114990580934034,0.008795802789246136,0.024322331415925987,0.46243755559275307,0.0,0.0006411327043532133,0.0016510441308107313,0.15913691724147658,0.10288329866250989,0.07707690956835299,271,634,0.08864452497340271,0.09524931678912736,0.0066047918157246584,155340.0,25200.0,130140.0,10,0.035
48,0.52308685,0.40133488,0.0,0.46059688258121645,0.027817972190433936,0.003721230280606282,0.00883299959591868,0.02756248801972418,0.46059688258121645,0.0,0.0007242955858910741,0.0017072033688028735,0.15676741701174515,0.10229402743939914,0.07759846439482525,271,634,0.08333867822381752,0.09153228844223867,0.008193610218421141,149278.0,31262.0,118016.0,10,0.04
49,0.51943856,0.39666003,0.0,0.4583427165209826,0.02827476478848913,0.0037429715350487443,0.009124586784200975,0.029916374359112246,0.4583427165209826,0.0,0.000700254954378839,0.0017134160436281136,0.15430785041150752,0.10187804732206443,0.07831787593846802,271,634,0.07734313482361611,0.08733209560718044,0.00998896078356433,142428.0,38112.0,104316.0,10,0.045
50,0.51455647,0.39079425,0.0,0.4560858021089056,0.028750982354239247,0.0037379460408945415,0.009492081551648403,0.03359426151969521,0.4560858021089056,0.0,0.0007022140331771927,0.001733499446888656,0.1517167996821743,0.10156418359752625,0.07900632343108764,271,634,0.0708644422771603,0.08279342932894661,0.011928987051786308,135026.0,45514.0,89512.0,10,0.05
51,0.50911766,0.38425285,0.0,0.45243400342262335,0.02934739793452883,0.003938227538477335,0.009675317534239721,0.03593540677344588,0.45243400342262335,0.0,0.0007222730666440357,0.0017795207081985208,0.14940193929777768,0.10196381868933482,0.08009988073132299,271,634,0.06384835134488441,0.07787829043680451,0.0140299390919201,127010.0,53530.0,73480.0,10,0.055
52,0.50262696,0.37664786,0.0,0.4489550465315708,0.029998644646912855,0.003951460355059709,0.00980223007048626,0.03801535367745816,0.4489550465315708,0.0,0.0008514781648260373,0.0018900174720957192,0.14741627083622988,0.10266679500531718,0.08123350087173241,271,634,0.05644802430117691,0.0726939760890834,0.01624595178790649,118555.0,61985.0,56570.0,10,0.06
53,0.4949225,0.36780766,0.0,0.4452186777129089,0.0305922192805287,0.003808473324551934,0.010596317412683912,0.04082200606307799,0.4452186777129089,0.0,0.0008088935988384153,0.001820266334760374,0.14531840098311957,0.10336093309424237,0.08246486895617518,271,634,0.04896189807431499,0.06744954858758792,0.018487650513272932,110002.0,70538.0,39464.0,10,0.065
54,0.48563153,0.35769913,0.0,0.44181549035948137,0.03108979593765548,0.003940220552052548,0.011079802352412384,0.04244527499626573,0.44181549035948137,0.0,0.0009325010247481001,0.00195619079665056,0.14380441372896702,0.10430524307492793,0.08356548416594302,271,634,0.04142065709407691,0.0621665166312918,0.020745859537214886,101386.0,79154.0,22232.0,10,0.07
55,0.47512385,0.3466268,0.0,0.43768115203662006,0.03156758005038127,0.003995981307664864,0.01113620682721842,0.04341131691386012,0.43768115203662006,0.0,0.0009498560236187208,0.001974184400045056,0.14300993197007275,0.10534242176091675,0.08489058173816039,271,634,0.03381113020973854,0.05683564259997153,0.02302451239023299,92692.0,87848.0,4844.0,10,0.075
56,0.46456635,0.33580372,0.0,0.4317644606830162,0.03216032185117797,0.004104619740211563,0.010815696100105165,0.04485187913291832,0.4317644606830162,0.0,0.000996533124251198,0.002031321435369291,0.14293900854976907,0.10675574237332056,0.08654466216798225,271,634,0.026466804037121094,0.05169055558658614,0.025223751549465045,84301.0,96239.0,-11938.0,10,0.08
57,0.45288202,0.32412764,0.0,0.4248145474928626,0.0327102037682718,0.004225459721354793,0.011334694381736649,0.04751103516278085,0.4248145474928626,0.0,0.0010082841257481926,0.002083430845660297,0.14331367003865497,0.10810984546122852,0.08799615901887431,271,634,0.019402576214162026,0.04674169322221482,0.02733911700805279,76230.0,104310.0,-28080.0,10,0.085
58,0.44033515,0.3120638,0.0,0.41770699315602605,0.033172047458395665,0.004225459721354793,0.010760885802644778,0.04824833956955759,0.41770699315602605,0.0,0.000988137629108969,0.0020690708324339773,0.14456174802565222,0.10989927354441577,0.08951402384814762,271,634,0.012615797440781767,0.041987197425532606,0.02937139998475084,68476.0,112064.0,-43588.0,10,0.09
59,0.42672202,0.29976737,0.0,0.4113790512945809,0.033576865661932166,0.004294661412071634,0.010834666487867522,0.049063255122947166,0.4113790512945809,0.0,0.0009571088712638175,0.0020775693709969905,0.1460186881880392,0.11158367636179341,0.09075755604547625,271,634,0.006211507687716368,0.03750065947810662,0.031289151790390254,61159.0,119381.0,-58222.0,10,0.095
60,0.41245663,0.2875097,0.0,0.40170176707256267,0.03403162873172712,0.004322128661497458,0.010451419366377742,0.049088264620009606,0.40170176707256267,0.0,0.0009511715805105987,0.002060680786654367,0.14796590073761606,0.11354326244930844,0.0922115243109408,271,634,0.00013719524279770523,0.03324528373915331,0.0331080884963556,54219.0,126321.0,-72102.0,10,0.1
61,0.39791945,0.27551234,0.0,0.3897309405632019,0.03438985957686984,0.004239907492350469,0.010423148414541202,0.048655408720342075,0.3897309405632019,0.0,0.0009959550170587275,0.0020862172336529143,0.14938813228829215,0.11527715754866402,0.09340488278432375,271,634,-0.005455727974467386,0.029327148001132414,0.0347828759755998,47829.0,132711.0,-84882.0,10,0.105
62,0.38268343,0.263587,0.0,0.3770180566762452,0.03469402978047764,0.004142036840080085,0.010330471807432021,0.04852416245174376,0.3770180566762452,0.0,0.0010510961060916848,0.0021041887287471866,0.15143744148572114,0.11733170001612796,0.09467803245256488,271,634,-0.010720424493795913,0.025638953346167982,0.036359377839963895,41814.0,138726.0,-96912.0,10,0.11
63,0.3664335,0.2516894,0.0,0.36266340811682396,0.03498870394432875,0.004251046690800538,0.010039843096979775,0.04789258904410584,0.36266340811682396,0.0,0.001035769692641131,0.0021121281510610218,0.15316661607866536,0.11933302237050712,0.09587073146958734,271,634,-0.015520356959688949,0.022276343454733987,0.037796700414422936,36330.0,144210.0,-107880.0,10,0.115
64,0.35081735,0.24087183,0.0,0.3479015454395965,0.03526413290213414,0.004357186888487579,0.010080796273084785,0.04796703303776819,0.3479015454395965,0.0,0.0010114681185093347,0.0021198027183000337,0.15504676943064866,0.12128956000934817,0.09701991720810628,271,634,-0.019774133365044116,0.019296354033410328,0.039070487398454444,31470.0,149070.0,-117600.0,10,0.12
65,0.33623475,0.23090176,0.0,0.3351317665342429,0.03553809230350257,0.004489648161003828,0.010092454303873857,0.04478293717349153,0.3351317665342429,0.0,0.0010447980048904168,0.002154244285332889,0.15677645755177916,0.12301672376716485,0.09804551043232276,271,634,-0.02344847832812664,0.016722281480627307,0.040170759808753946,27272.0,153268.0,-125996.0,10,0.125
66,0.32033178,0.22100365,0.0,0.32081838340553986,0.035783282086664835,0.004325049394509524,0.010029646637358438,0.04511488310601905,0.32081838340553986,0.0,0.0010525434572236946,0.0021343093444170774,0.15945079780849125,0.12462146543743341,0.09921123275339351,271,634,-0.026885629045782476,0.014314376999971172,0.04120000604575365,23345.0,157195.0,-133850.0,10,0.13
